"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"TTC7B","TTC7L1","ENSG00000165914","Tetratricopeptide repeat domain 7B","Q86TV6","14","90524564-90816479","Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in many",NA,"Astrocytes: 86.0;Excitatory neurons: 115.0;Inhibitory neurons: 129.8;Oligodendrocyte precursor cells: 66.9;Oligodendrocytes: 66.8","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in some",7,"basophil: 5.6;eosinophil: 8.0","Lineage enriched","Detected in single",9,"granulocytes: 8.0","Low cancer specificity","Detected in all",NA,"","Prostate - Smooth muscle cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA058363, HPA059577","Enhanced","","Supported","Plasma membrane","",NA,NA,NA,NA,"Cluster 10: Basophils - Unknown function","Cluster 47: Non-specific - Unknown function","Cluster 62: Granulocytes - Innate immune response","Cluster 37: Neurons - Neuronal signaling","Plasma membrane","","HPA058363: AB_2683692, HPA059577: AB_2684069","unprognostic (9.37e-2)","unprognostic (4.20e-2)","unprognostic (1.01e-2)","unprognostic (2.41e-2)","unprognostic (2.58e-1)","unprognostic (2.67e-4)","unprognostic (9.42e-2)","unprognostic (2.17e-1)","unprognostic (5.38e-2)","unprognostic (7.60e-2)","unprognostic (2.75e-3)","unprognostic (2.87e-2)","prognostic favorable (3.20e-6)","unprognostic (2.74e-2)","unprognostic (7.41e-2)","unprognostic (4.48e-2)","unprognostic (1.07e-2)"
"TTYH1","","ENSG00000167614","Tweety family member 1","Q9H313","19","54415219-54436904","Predicted membrane proteins, Transporters","Cell adhesion, Ion transport, Transport","Chloride channel, Ion channel","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"brain: 80.9;choroid plexus: 35.6;testis: 53.4","Cell type enhanced","Detected in many",NA,"Astrocytes: 249.6;Bipolar cells: 135.4;Muller glia cells: 612.9;Oligodendrocytes: 92.1;Rod photoreceptor cells: 143.9;Schwann cells: 155.3","Cancer enriched","Detected in many",15,"glioma: 63.9","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Not detected","Not detected",NA,"","Colon - Enteric glia cells, Skin - Eccrine sweat gland cells, Testis - Sertoli cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA005725, HPA023617, HPA050655","Approved","","Approved","Nucleoplasm,Plasma membrane","",NA,NA,NA,NA,"","Cluster 76: Brain & Bone marrow - Chromatin organization","Cluster 35: Liver cancer - Metabolism","Cluster 68: Muller glia cells - Visual perception","Nucleoplasm, Plasma membrane","","HPA005725: , HPA023617: AB_10600836, HPA050655: AB_2681204","prognostic favorable (3.64e-4)","unprognostic (1.71e-1)","unprognostic (1.24e-2)","unprognostic (1.25e-1)","unprognostic (1.46e-2)","unprognostic (2.50e-3)","unprognostic (8.93e-2)","unprognostic (1.51e-2)","unprognostic (5.94e-3)","unprognostic (1.11e-1)","unprognostic (3.66e-1)","unprognostic (1.60e-1)","unprognostic (0.00e+0)","unprognostic (2.09e-1)","unprognostic (1.41e-1)","unprognostic (4.45e-2)","unprognostic (1.69e-1)"
"TWF2","A6r, A6RP, PTK9L","ENSG00000247596","Twinfilin actin binding protein 2","Q6IBS0","3","52228612-52246788","Plasma proteins, Predicted intracellular proteins","Cilium biogenesis/degradation","Actin-binding","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"skeletal muscle: 183.4","Cell type enhanced","Detected in many",NA,"Hofbauer cells: 213.9","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","Heart muscle - Cardiomyocytes","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA053874","Uncertain","","Uncertain","Plasma membrane","",NA,NA,NA,5900000,"Cluster 8: Neutrophils - Inflammatory response","Cluster 59: Non-specific - Translation","Cluster 5: Non-specific - Unknown function","Cluster 23: Langerhans cells - Immune response","Plasma membrane","","HPA053874: AB_2682287","unprognostic (4.24e-2)","unprognostic (8.61e-2)","unprognostic (2.18e-1)","unprognostic (2.62e-2)","unprognostic (2.70e-2)","unprognostic (3.51e-2)","unprognostic (5.46e-3)","unprognostic (2.76e-1)","unprognostic (6.56e-2)","unprognostic (1.97e-1)","unprognostic (2.58e-2)","unprognostic (5.07e-2)","unprognostic (4.31e-3)","unprognostic (4.40e-1)","unprognostic (1.03e-1)","unprognostic (1.09e-1)","unprognostic (7.07e-2)"
"TXK","BTKL, PSCTK5, PTK4, RLK, TKL","ENSG00000074966","TXK tyrosine kinase","P42681","4","48066393-48134250","Enzymes, Predicted intracellular proteins","Adaptive immunity, Immunity, Transcription, Transcription regulation","Kinase, Transferase, Tyrosine-protein kinase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"epididymis: 12.4;lymphoid tissue: 15.8","Group enriched","Detected in many",6,"NK-cells: 224.8;T-cells: 63.6","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in some",NA,"","Immune cell enhanced","Detected in many",NA,"NK-cell: 152.3","Group enriched","Detected in many",19,"NK-cells: 152.3;T-cells: 54.8","Cancer enhanced","Detected in many",NA,"Myeloma: 4.6","Adipose visceral - T-cells, Liver - NK-cells (Liver), Lung - NK-cells (Lung)","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","HPA078636","","","Supported","Nucleoplasm,Nucleoli,Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 48: NK-cells - Unknown function","Cluster 16: Immune cells - Immune response","Cluster 66: Myeloid cells - Innate immune response","Cluster 7: NK-cells - Immune response regulation","Nucleoplasm, Cytosol","Nucleoli, Plasma membrane","HPA078636: ","unprognostic (1.04e-2)","unprognostic (2.21e-2)","unprognostic (4.13e-2)","unprognostic (9.24e-3)","unprognostic (1.09e-2)","unprognostic (2.58e-4)","unprognostic (1.32e-1)","unprognostic (1.94e-1)","unprognostic (1.50e-1)","unprognostic (6.39e-3)","unprognostic (8.13e-2)","unprognostic (4.06e-1)","unprognostic (1.33e-1)","unprognostic (1.37e-1)","unprognostic (1.61e-1)","unprognostic (2.59e-1)","unprognostic (2.04e-2)"
"UBE2C","UBCH10","ENSG00000175063","Ubiquitin conjugating enzyme E2 C","O00762","20","45812576-45816957","Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins","Cell cycle, Cell division, Mitosis, Ubl conjugation pathway","Transferase","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"bone marrow: 78.5;lymphoid tissue: 113.5","Cell type enhanced","Detected in many",NA,"Cytotrophoblasts: 142.8;Erythroid cells: 152.2;Extravillous trophoblasts: 499.0;Granulosa cells: 140.8;Undifferentiated cells: 143.4","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in single",NA,"","Immune cell enhanced","Detected in some",NA,"T-reg: 8.2","Group enriched","Detected in many",5,"granulocytes: 2.1;NK-cells: 2.1;T-cells: 8.2","Low cancer specificity","Detected in all",NA,"","Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Thyroid - Mitotic cells (Thyroid)","Group enriched","Detected in many",5,"basal ganglia: 4.3;white matter: 11.4","Low region specificity","Detected in some",NA,"","CAB011464, HPA034569, CAB035990, HPA054975","Approved","","Approved","Plasma membrane,Cytosol","","Yes","Yes",NA,NA,"Cluster 35: T-regs - Unknown function","Cluster 53: Non-specific - Cell cycle regulation","Cluster 37: Ovarian cancer RMG-I - Cellular stress response","Cluster 43: Non-specific - Cell proliferation","Plasma membrane, Cytosol","","CAB011464: AB_442965, CAB035990: , HPA034569: AB_2674226, HPA054975: AB_2682658","unprognostic (1.45e-2)","unprognostic (2.19e-1)","unprognostic (1.06e-1)","unprognostic (2.11e-3)","unprognostic (2.54e-1)","unprognostic (1.35e-1)","prognostic unfavorable (6.24e-6)","unprognostic (2.27e-3)","unprognostic (2.59e-2)","unprognostic (1.04e-1)","prognostic unfavorable (6.91e-4)","unprognostic (3.76e-2)","prognostic unfavorable (0.00e+0)","unprognostic (3.09e-1)","unprognostic (3.61e-1)","unprognostic (4.65e-2)","unprognostic (2.68e-1)"
"UBE2QL1","FLJ25076","ENSG00000215218","Ubiquitin conjugating enzyme E2 Q family like 1","A1L167","5","6448859-6496723","Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins","Ubl conjugation pathway","Transferase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",5,"brain: 26.1;heart muscle: 16.8;retina: 28.3;skeletal muscle: 54.5;tongue: 13.9","Cell type enhanced","Detected in many",NA,"Bipolar cells: 30.2;Cardiomyocytes: 29.9;Cone photoreceptor cells: 27.6;Excitatory neurons: 47.1;Granulosa cells: 45.4;Horizontal cells: 26.9;Inhibitory neurons: 34.4;Rod photoreceptor cells: 58.0","Cancer enhanced","Detected in many",NA,"thyroid cancer: 5.4","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in some",NA,"Myeloma: 16.3","Heart muscle - Cardiomyocytes, Kidney - Intercalated cells, Pancreas - Alpha cells, Skin - Sebaceous gland cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA057414","","","Supported","Nucleoplasm,Plasma membrane","",NA,NA,NA,NA,"","Cluster 54: Non-specific - Microtubule organization","Cluster 51: Myeloma - Humoral immune response","Cluster 44: Photoreceptor cells - Visual perception","Nucleoplasm","Plasma membrane","HPA057414: ","unprognostic (1.45e-2)","unprognostic (1.58e-2)","unprognostic (1.79e-2)","unprognostic (2.10e-1)","unprognostic (1.08e-2)","unprognostic (7.43e-2)","unprognostic (1.15e-2)","unprognostic (1.36e-1)","unprognostic (3.10e-1)","unprognostic (7.16e-2)","unprognostic (2.15e-3)","unprognostic (8.41e-2)","prognostic favorable (6.81e-8)","unprognostic (3.18e-3)","unprognostic (2.81e-1)","unprognostic (1.27e-2)","unprognostic (1.41e-2)"
"UCP3","SLC25A9","ENSG00000175564","Uncoupling protein 3","P55916","11","74000277-74009085","Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters","Transport","","Diabetes mellitus, Disease variant, Obesity","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",80,"skeletal muscle: 393.2;tongue: 263.1","Cell type enhanced","Detected in some",NA,"Early spermatids: 11.8;Late spermatids: 16.3;Skeletal myocytes: 52.5","Low cancer specificity","Detected in some",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in many",NA,"","Testis - Late spermatids","Low region specificity","Detected in all",NA,"","Not detected","Not detected",NA,"","CAB010771, HPA072225","Enhanced","","Approved","Nucleoplasm,Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 36: GdT-cells - Adaptive immune response","Cluster 13: Striated muscle - Muscle contraction","Cluster 11: Lymphoma - Adaptive immune response","Cluster 27: Skeletal myocytes - Muscle contraction","Nucleoplasm, Cytosol","Plasma membrane","CAB010771: AB_261839, HPA072225: AB_2686498","unprognostic (3.76e-3)","unprognostic (1.24e-1)","unprognostic (2.82e-1)","unprognostic (5.98e-2)","unprognostic (1.12e-1)","unprognostic (2.49e-2)","unprognostic (3.95e-3)","unprognostic (6.61e-2)","unprognostic (1.25e-1)","unprognostic (8.58e-2)","unprognostic (2.13e-4)","unprognostic (1.61e-2)","unprognostic (3.25e-6)","unprognostic (2.68e-1)","unprognostic (1.66e-1)","unprognostic (1.76e-1)","unprognostic (2.50e-4)"
"ULBP2","RAET1H","ENSG00000131015","UL16 binding protein 2","Q9BZM5","6","149942014-149949235","Predicted membrane proteins, Predicted secreted proteins","Host-virus interaction, Immunity","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"esophagus: 6.1","Cell type enhanced","Detected in many",NA,"Adipocytes: 25.8;Basal respiratory cells: 16.6;Exocrine glandular cells: 10.2;Late spermatids: 11.0;Squamous epithelial cells: 12.1","Cancer enhanced","Detected in all",NA,"head and neck cancer: 12.9","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in some",NA,"gdT-cell: 2.7","Lineage enriched","Detected in single",6,"T-cells: 2.7","Low cancer specificity","Detected in many",NA,"","Breast - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells","","",NA,"","","",NA,"","CAB018974, HPA066741","Approved","","Supported","Vesicles,Plasma membrane","Secreted in other tissues",NA,NA,NA,NA,"Cluster 20: T-cells - T-cell receptor","Cluster 27: Brain & Skin - Unknown function","Cluster 60: Keratinocytes - Epithelial cell function","Cluster 11: Non-specific - Transcription","Vesicles, Plasma membrane","","CAB018974: , HPA066741: ","unprognostic (2.09e-5)","prognostic unfavorable (8.07e-4)","unprognostic (2.38e-3)","unprognostic (3.90e-1)","prognostic unfavorable (2.44e-4)","unprognostic (1.26e-2)","unprognostic (2.38e-3)","unprognostic (1.47e-1)","unprognostic (1.02e-1)","unprognostic (1.05e-1)","unprognostic (1.99e-1)","unprognostic (1.75e-2)","unprognostic (1.42e-4)","unprognostic (1.68e-1)","unprognostic (2.06e-1)","unprognostic (2.14e-1)","unprognostic (4.86e-1)"
"USP53","KIAA1350","ENSG00000145390","Ubiquitin specific peptidase 53","Q70EK8","4","119212587-119295517","Enzymes, Predicted intracellular proteins","","","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Cell type enhanced","Detected in all",NA,"Glandular and luminal cells: 503.6;Microglial cells: 262.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in some",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA035844, HPA035845","Uncertain","","Approved","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 32: T-cells - Unknown function","Cluster 13: Striated muscle - Muscle contraction","Cluster 20: Connective tissue cells - ECM organization","Cluster 14: Endometrium - Transcription regulation","Plasma membrane","Cytosol","HPA035844: AB_10669532, HPA035845: AB_2674817","unprognostic (9.33e-2)","unprognostic (1.49e-2)","prognostic favorable (3.15e-6)","unprognostic (4.37e-3)","unprognostic (4.82e-2)","unprognostic (5.03e-2)","unprognostic (1.55e-1)","unprognostic (9.54e-2)","unprognostic (1.77e-1)","unprognostic (9.81e-3)","unprognostic (1.28e-1)","prognostic unfavorable (7.54e-6)","prognostic favorable (3.58e-8)","unprognostic (9.02e-2)","unprognostic (1.72e-1)","unprognostic (1.58e-1)","unprognostic (3.70e-2)"
"VANGL1","STB2","ENSG00000173218","VANGL planar cell polarity protein 1","Q8TAA9","1","115641970-115698224","Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters","","","Disease variant","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Low cell type specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in many",NA,"NK-cell: 6.2","Group enriched","Detected in many",7,"dendritic cells: 2.3;NK-cells: 6.2;T-cells: 3.0","Low cancer specificity","Detected in all",NA,"","Skin - Mitotic cells (Skin), Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA025235, CAB076375","Approved","","Approved","Plasma membrane","",NA,"Yes",NA,NA,"Cluster 48: NK-cells - Unknown function","Cluster 12: Smooth muscle tissue - Mixed function","Cluster 38: Non-specific - mRNA processing","Cluster 22: Squamous epithelial cells - Keratinization","Plasma membrane","","CAB076375: AB_2665604, HPA025235: AB_1858718","unprognostic (1.04e-2)","unprognostic (2.04e-2)","prognostic favorable (7.53e-4)","unprognostic (9.94e-2)","unprognostic (1.71e-2)","unprognostic (5.18e-2)","unprognostic (2.18e-3)","unprognostic (5.11e-3)","unprognostic (2.11e-1)","unprognostic (6.43e-3)","prognostic unfavorable (7.89e-4)","unprognostic (1.88e-2)","unprognostic (1.74e-2)","unprognostic (7.71e-3)","unprognostic (1.21e-1)","unprognostic (4.50e-3)","unprognostic (9.06e-3)"
"VIL1","D2S1471, VIL","ENSG00000127831","Villin 1","P09327","2","218419121-218453295","Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins","Apoptosis","Actin capping, Actin-binding","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",14,"intestine: 436.3","Cell type enhanced","Detected in some",NA,"Distal enterocytes: 234.3;Enteroendocrine cells: 136.3;Intestinal goblet cells: 148.7;Paneth cells: 214.2;Proximal enterocytes: 592.0;Undifferentiated cells: 136.3","Group enriched","Detected in many",4,"colorectal cancer: 56.4;stomach cancer: 23.5","Not detected","Not detected",NA,"","Immune cell enriched","Detected in single",4,"neutrophil: 1.3","Lineage enriched","Detected in single",6,"granulocytes: 1.3","Group enriched","Detected in many",5,"Bile duct cancer: 124.4;colorectal cancer: 264.3;Gastric cancer: 119.5;liver cancer: 135.3","Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Keratinocyte (granular), Testis - Late spermatids","Low region specificity","Detected in single",NA,"","Not detected","Not detected",NA,"","CAB002452, HPA006884, HPA006885","Enhanced","","Enhanced","Plasma membrane","",NA,NA,NA,6800,"Cluster 9: Neutrophils - Innate immune response","Cluster 9: Intestine - Unknown function","Cluster 19: Stomach & Colon cancer - Absorption","Cluster 59: Proximal enterocytes - Transmembrane transport","Plasma membrane","","CAB002452: AB_564052, HPA006884: AB_1080566, HPA006885: AB_1080564","unprognostic (1.28e-1)","unprognostic (1.91e-2)","unprognostic (1.61e-2)","unprognostic (1.09e-1)","unprognostic (1.83e-1)","unprognostic (3.36e-1)","unprognostic (3.03e-1)","unprognostic (5.90e-2)","unprognostic (2.44e-2)","unprognostic (7.06e-2)","unprognostic (4.14e-1)","unprognostic (1.03e-1)","unprognostic (2.25e-3)","unprognostic (3.90e-1)","unprognostic (2.58e-1)","unprognostic (4.79e-2)","unprognostic (4.65e-2)"
